Latin_name,Common_name,Family,CYTB
Canis lupus familiaris,dog,Canidae,EU352854.1
Mustela putorius furo,domestic ferret,Mustelidae,EF987746
Odobenus rosmarus,Pacific walrus,Odobenidae,GU174611.1
Lutra lutra,Eurasian river otter,Mustelidae,AF057124
Neogale vison,American mink,Mustelidae,AF057129
Mustela nigripes,black-footed ferret,Mustelidae,EF987743
Mustela lutreola,European mink,Mustelidae,EF987742
Lynx rufus ,bobcat,Felidae,GU175436
Prionailurus viverrinus,fishing cat,Felidae,AB210239
Panthera uncia,snow leopard,Felidae,KF990331
Mirounga leonina ,Southern elephant seal,Phocidae,AY377326.1
Mirounga angustirostris,Northern elephant seal,Phocidae,AY424646
Nyctereutes procyonoides,raccoon dog,Canidae,JX099854.1
Ursus arctos,brown bear,Ursidae,U18872
Meles meles,Eurasian badger,Mustelidae,AB049790
Lontra canadensis,Northern American river otter,Mustelidae,AF057121
Mustela erminea,ermine,Mustelidae,AF457442
Lynx canadensis,Canada lynx,Felidae,AY928671
Puma concolor,puma,Felidae,GU175442
Prionailurus bengalensis,leopard cat,Felidae,AB210233
Felis catus,domestic cat,Felidae,KT626623
Panthera leo,lion,Felidae,AF384815
Panthera onca,jaguar,Felidae,GU175435
Panthera pardus,leopard,Felidae,OQ117400
Panthera tigris,tiger,Felidae,AF053018
Eumetopias jubatus,Steller sea lion,Otariidae,FJ948486
Monachus schauinslandi,Hawaiian monk seal,Phocidae,GU174610
Halichoerus grypus,gray seal,Phocidae,GU167293
Phoca vitulina,harbor seal,Phocidae,AB510408
Canis lupus dingo,dingo,Canidae,JX094432
Hyaena hyaena,striped hyena,Hyaenidae,AY928678
Suricata suricatta,meerkat,Herpestidae,AY170111
Vulpes lagopus,Arctic fox,Canidae,LT559489
Vulpes vulpes,red fox,Canidae,AY928669.1
Ursus maritimus,polar bear,Ursidae,KF184261
Ursus americanus,American black bear,Ursidae,KF184251
Ailuropoda melanoleuca,giant panda,Ursidae,AY390359
Enhydra lutris,northern sea otter,Mustelidae,AF057120
